ID,H,G,Epoch,MeanAnomaly,ArgPerihelion,LongAscNode,Inclination,Eccentricity,MeanMotion,SemiMajorAxis,Uncertainty,Reference,NObs,NOppositions,ObsStart,ObsEnd,RMS,CoarsePerturbers,PrecisePerturbers,Computer,ReadableDesignation,LastObsDate
00001,3.35,0.15,K2555,188.7027,73.27343,80.2522,10.5878,0.0794013,0.21424651,2.7660512,0,E2025-O63,7291.0,125,1801,024,0.7,M-v,30k,MPCLINUX,(1) Ceres,20241101
00101,8.39,0.15,K2555,276.16155,347.78345,343.36446,10.19186,0.140582,0.23734322,2.5835577,0,E2025-O63,7049.0,64,1871,025,0.5,M-v,3Ek,MPCLINUX,(101) Helena,20250722
00201,8.57,0.15,K2555,78.29807,181.33806,156.86887,5.75565,0.1794358,0.22460823,2.6803136,0,MPO914115,11713.0,67,1879,025,0.49,M-v,3Ek,MPCLINUX,(201) Penelope,20250320
00301,10.53,0.15,K2555,99.07971,123.55725,142.28592,4.89846,0.065735,0.21918727,2.7243266,0,E2025-O30,8190.0,61,1890,025,0.56,M-v,3Ek,MPCLINUX,(301) Bavaria,20250719
00401,9.45,0.15,K2555,320.78135,301.82253,36.03131,5.96149,0.0307247,0.1609604,3.3470075,0,E2025-O63,11484.0,60,1895,025,0.48,M-v,3Ek,MPCLINUX,(401) Ottilia,20250723
00501,9.49,0.15,K2555,39.89496,356.76594,357.21365,20.83849,0.1416561,0.17535062,3.1612912,0,MPO901168,8075.0,55,1903,025,0.52,M-v,3Ek,MPCLINUX,(501) Urhixidur,20250121
00601,9.67,0.15,K2555,111.90444,161.75288,169.34453,16.13346,0.1060438,0.17729012,3.1381933,0,MPO914122,5504.0,45,1906,025,0.65,M-v,3Ek,MPCLINUX,(601) Nerthus,20250417
00701,9.29,0.15,K2555,58.31179,324.47141,243.53524,7.13115,0.0378764,0.18832806,3.0143431,0,E2025-O63,8137.0,59,1906,025,0.58,M-v,3Ek,MPCLINUX,(701) Oriola,20250722
00801,11.57,0.15,K2555,75.41875,337.41646,185.90068,14.14037,0.0767082,0.23441362,2.6050385,0,E2025-O63,6193.0,40,1915,025,0.61,M-v,3Ek,MPCLINUX,(801) Helwerthia,20250722
00901,11.63,0.15,K2555,61.34548,68.4154,265.02784,3.44581,0.2204149,0.29704619,2.2246075,0,MPO901174,6478.0,45,1905,025,0.6,M-v,3Ek,MPCLINUX,(901) Brunsia,20250201
