id,geo_point_2d,intensidad,alcaldia,area_m2,perime_m,intens_num,int2
35.0,"19.2422518066,-99.0731823535",Bajo,Xochimilco,973904.029201,6805.44825625,26 a 49,2
56.0,"19.2236128042,-99.1083418839",Muy Bajo,Xochimilco,795548.364401,4693.75269064,0 a 25,1
32.0,"19.3809650541,-99.1373113251",Muy Alto,Benito Juárez,168263.324089,1712.40960466,100,5
45.0,"19.2603567,-99.0628861422",Muy Alto,Xochimilco,267499.368896,2488.60325608,100,5
31.0,"19.3905750675,-99.144452701",Muy Alto,Benito Juárez,202062.408324,2113.71385722,100,5
305.0,"19.2276041044,-98.9941234328",Medio,Tláhuac,234874.042009,3196.0804442,50 a 72,3
323.0,"19.2771922614,-99.028409051",Bajo,Tláhuac,355850.190015,2734.1363449,26 a 49,2
322.0,"19.281094046,-99.0281852145",Muy Alto,Tláhuac,284714.87588,2399.45362774,100,5
205.0,"19.2743171889,-99.1598802949",Bajo,Tlalpan,118347.612203,1477.92294678,26 a 49,2
196.0,"19.2468417163,-99.0123697042",Muy Bajo,Xochimilco,80875.1795027,1575.46780681,0 a 25,1
228.0,"19.2208697869,-98.9702836558",Alto,Tláhuac,191056.44022,2120.75141505,73 a 99,4
66.0,"19.2261935974,-99.0961025657",Muy Bajo,Xochimilco,9832.67795981,583.095636572,0 a 25,1
100.0,"19.3946112885,-99.1745309365",Alto,Benito Juárez,280199.900175,3236.21495127,73 a 99,4
67.0,"19.3885597096,-99.1364615233",Muy Alto,Benito Juárez,145405.517839,1956.19234816,100,5
84.0,"19.377592658,-99.1563039325",Muy Alto,Benito Juárez,403840.985707,2691.8624778,100,5
273.0,"19.2948004811,-99.0380209762",Muy Alto,Tláhuac,275652.653875,2415.96623685,100,5
264.0,"19.3675109095,-99.1973712799",Muy Bajo,Álvaro Obregón,49967.6367631,956.141780185,0 a 25,1
248.0,"19.3025862964,-99.0470818801",Muy Alto,Tláhuac,311177.730683,3053.04193875,100,5
405.0,"19.3891124828,-99.2069590505",Muy Bajo,Álvaro Obregón,24577.0463168,636.026981587,0 a 25,1
140.0,"19.242566309,-99.1676853074",Muy Bajo,Tlalpan,1461151.132,6038.29974379,0 a 25,1
110.0,"19.2474109042,-99.1329730087",Muy Bajo,Xochimilco,141590.666469,2335.11331499,0 a 25,1
114.0,"19.386072694,-99.1363179788",Muy Alto,Benito Juárez,161889.032924,1671.43593141,100,5
117.0,"19.3968511136,-99.1324927771",Muy Alto,Benito Juárez,132146.044995,1492.71999669,100,5
106.0,"19.2584622354,-99.1206817076",Muy Alto,Xochimilco,46474.0831754,891.432783477,100,5
173.0,"19.3814850719,-99.2121859799",Muy Bajo,Álvaro Obregón,122196.607067,1860.58233378,0 a 25,1
178.0,"19.2907555273,-99.2396041442",Medio,Tlalpan,415376.634088,3069.47716524,50 a 72,3
164.0,"19.2770137603,-99.1241965835",Muy Alto,Xochimilco,461182.188193,3138.31248813,100,5
170.0,"19.3551925401,-99.2333172504",Muy Bajo,Álvaro Obregón,147747.067312,2174.11434318,0 a 25,1
190.0,"19.2808636014,-99.165275369",Muy Bajo,Tlalpan,335403.998317,3028.53604842,0 a 25,1
333.0,"19.2647610549,-99.2021848756",Muy Bajo,Tlalpan,971697.381809,6251.71144319,0 a 25,1
349.0,"19.3700955438,-99.2104507881",Muy Bajo,Álvaro Obregón,101160.5555,1915.70217773,0 a 25,1
347.0,"19.3671402008,-99.20299969",Muy Bajo,Álvaro Obregón,42462.4550975,1398.70807586,0 a 25,1
457.0,"19.3234180106,-99.2687540555",Muy Bajo,Álvaro Obregón,729596.029111,5029.81464924,0 a 25,1
424.0,"19.3102870556,-99.2114818253",Muy Bajo,Álvaro Obregón,1064286.7165,5084.24027649,0 a 25,1
459.0,"19.3388499766,-99.2054645547",Bajo,Álvaro Obregón,276896.928652,3678.81771345,26 a 49,2
476.0,"19.3693546825,-99.2347910223",Muy Bajo,Álvaro Obregón,195935.131483,2234.03178311,0 a 25,1
470.0,"19.3087961289,-99.0503156629",Muy Alto,Tláhuac,441545.066973,4237.63848223,100,5
478.0,"19.3800347904,-99.1942503334",Muy Bajo,Álvaro Obregón,62402.1984919,1443.24124639,0 a 25,1
469.0,"19.2960286894,-99.048426388",Muy Alto,Tláhuac,287953.750576,2756.6266714,100,5
468.0,"19.3058003122,-99.0501391121",Muy Alto,Tláhuac,222300.563026,2559.14103265,100,5
547.0,"19.2443720833,-99.0099951187",Muy Bajo,Tláhuac,675415.392076,4357.62754556,0 a 25,1
675.0,"19.3795626346,-99.0847729499",Muy Alto,Iztapalapa,981506.159824,5933.16449313,100,5
676.0,"19.3784260662,-99.0988264298",Muy Alto,Iztapalapa,199916.628301,1820.73765309,100,5
666.0,"19.3665871269,-99.1206775705",Muy Alto,Iztapalapa,233348.741023,2534.6177032,100,5
600.0,"19.3630045343,-99.2451131655",Muy Bajo,Álvaro Obregón,235262.804236,2972.11717624,0 a 25,1
715.0,"19.3621973948,-99.0944014167",Muy Alto,Iztapalapa,420708.472102,4868.60210949,100,5
709.0,"19.3398864599,-99.0376280486",Muy Alto,Iztapalapa,445195.548899,2929.40655647,100,5
720.0,"19.401021698,-99.1101603403",Muy Alto,Iztacalco,530003.010641,3001.57261167,100,5
698.0,"19.3527839398,-98.9918613606",Bajo,Iztapalapa,192325.004557,2221.1377164,26 a 49,2
818.0,"19.3578313171,-99.2327204323",Muy Bajo,Álvaro Obregón,125642.367265,1952.0205434,0 a 25,1
897.0,"19.3459138349,-99.0530517273",Muy Alto,Iztapalapa,207040.95251,3361.72561012,100,5
895.0,"19.3288934357,-99.0344088057",Muy Bajo,Iztapalapa,243214.822681,2584.18299234,0 a 25,1
873.0,"19.3729802311,-99.0505472994",Muy Alto,Iztapalapa,39396.482789,1034.04362674,100,5
983.0,"19.3319462363,-98.9938718025",Muy Bajo,Iztapalapa,497499.947215,4130.51100537,0 a 25,1
960.0,"19.3362888359,-98.9965108183",Muy Bajo,Iztapalapa,171557.797028,2325.92046099,0 a 25,1
975.0,"19.3666975692,-99.1178485965",Muy Alto,Iztapalapa,180190.897261,1886.55470481,100,5
978.0,"19.38502311,-99.0895863494",Muy Alto,Iztapalapa,183371.098595,1775.72581087,100,5
1013.0,"19.2635206523,-99.1176279645",Alto,Xochimilco,562014.680092,4994.4567041,73 a 99,4
1028.0,"19.3413688813,-99.0191122088",Medio,Iztapalapa,235835.248475,2974.12364055,50 a 72,3
1007.0,"19.2874644522,-99.1237269658",Muy Alto,Tlalpan,104479.436177,1836.83887457,100,5
996.0,"19.2974749667,-99.1872579063",Muy Bajo,Tlalpan,163726.787144,2103.18884028,0 a 25,1
994.0,"19.3401530809,-99.0419850561",Muy Alto,Iztapalapa,274561.505827,2177.24747364,100,5
2020.0,"19.5613716369,-99.1308130153",Bajo,Gustavo A. Madero,241216.55088,2629.47631453,26 a 49,2
2029.0,"19.4538329271,-99.0917655976",Muy Alto,Gustavo A. Madero,237693.951191,2042.78361789,100,5
2030.0,"19.4056496236,-99.1574288412",Muy Alto,Cuauhtémoc,170073.832453,1687.8583615,100,5
2091.0,"19.5452251469,-99.1411810109",Bajo,Gustavo A. Madero,516393.169214,2930.29677357,26 a 49,2
2101.0,"19.4941126614,-99.0703336805",Muy Alto,Gustavo A. Madero,163342.390273,1782.81061106,100,5
2104.0,"19.4022649405,-99.104119565",Muy Alto,Iztacalco,977236.28056,4811.84094552,100,5
2105.0,"19.3935576249,-99.1247127537",Muy Alto,Iztacalco,357636.540646,2793.23358443,100,5
2106.0,"19.3942804121,-99.1279579613",Muy Alto,Iztacalco,188197.195706,2058.31618436,100,5
2133.0,"19.4252629696,-99.1377302022",Muy Alto,Cuauhtémoc,226270.330571,2427.77767948,100,5
2141.0,"19.4806108318,-99.073594083",Muy Alto,Gustavo A. Madero,201986.730733,2026.82540617,100,5
2157.0,"19.5668271917,-99.1301406438",Muy Bajo,Gustavo A. Madero,261564.124653,2081.45151279,0 a 25,1
2161.0,"19.451613063,-99.09963944",Muy Alto,Gustavo A. Madero,183111.907336,1986.19335864,100,5
2163.0,"19.4553411877,-99.110969299",Muy Alto,Gustavo A. Madero,228236.375974,1986.05025315,100,5
2167.0,"19.3827445388,-99.1250370816",Muy Alto,Iztacalco,213334.154153,2147.24222187,100,5
2180.0,"19.4634982886,-99.0891434866",Muy Alto,Gustavo A. Madero,215870.323671,1973.89582616,100,5
