anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
2018,Cuarto Trimestre,Diciembre,145/2010,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 10-2,2010-06-25,2020-06-12,3640,529,2520951200,0,0,201367979.7,201367979.7,2520951200,0,7.9,NA,7.9
2018,Cuarto Trimestre,Diciembre,224/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,457",2007-08-30,1937-07-27,10924,6783,3457974221,0,14809395.11,286096648.7,300906043.8,3389145884,-14809395.11,TIIE,0.35,TIIE+0.35
2018,Cuarto Trimestre,Diciembre,225/2007,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 7000,2007-08-31,1940-08-27,12050,7910,7000000000,0,108919450.9,580949162.9,689868613.7,6371209229,-108919450.9,8.91,NA,8.91
2018,Cuarto Trimestre,Diciembre,226/2007,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 4,700",2007-08-31,1937-07-27,10923,6783,4700000000,0,20128593.44,401869662.7,421998256.2,4606450089,-20128593.44,8.8,NA,8.8
2018,Cuarto Trimestre,Diciembre,513/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,914",2008-12-26,2019-10-25,3955,298,1914680897,0,320373500.5,24450927.96,344824428.5,127743305,-320373500.5,TIIE,0.97,TIIE+0.97
2018,Cuarto Trimestre,Diciembre,562/2010,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  1,499",2010-12-28,1940-10-25,10894,7969,1499069398,0,95833334.11,115783489.1,211616823.2,1199069398,-95833334.11,9.13,NA,9.13
2018,Cuarto Trimestre,Diciembre,P09-0917056,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 17X,2017-09-19,2028-03-07,3822,3354,2000000000,0,0,153688888.9,153688888.9,2000000000,0,7.6,NA,7.6
2018,Cuarto Trimestre,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,"BANOBRAS 2,138",2012-11-12,1932-11-25,7318,5078,2138648319,0,0,172817635.9,172817635.9,2138648319,0,7.09,0.88,7.97
2018,Cuarto Trimestre,Diciembre,P09-1113146,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 13,2013-11-28,2023-11-16,3640,1781,2126874900,0,0,151610732.5,151610732.5,2126874900,0,7.05,NA,7.05
2018,Cuarto Trimestre,Diciembre,P09-1213198,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 3,500",2013-12-31,2023-12-26,3647,1821,3500000000,0,437500000.1,142669512.1,580169512.2,2187500000,-437500000.1,5.74,NA,5.74
2018,Cuarto Trimestre,Diciembre,P09-1214242,Largo Plazo,Banca Comercial,BANCOMER,BANCOMER 2500,2014-12-26,2024-12-26,3653,2187,2500000000,0,312500000,119142795.1,431642795.2,1875000000,-312500000,5.75,NA,5.75
2018,Cuarto Trimestre,Diciembre,P09-1215163,Largo Plazo,Banca Comercial,SANTANDER,"SANTANDER 3,500",2015-12-30,2022-12-26,2553,1456,3500000000,0,700000000,268178084.9,968178084.8,2800000000,-700000000,TIIE,0.38,TIIE+0.38
2018,Cuarto Trimestre,Diciembre,P09-1216082,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-15",2016-12-30,1931-12-26,5474,4743,3000000000,0,214285714.3,241805000,456090714.3,2785714286,-214285714.3,8.22,NA,8.22
2018,Cuarto Trimestre,Diciembre,P09-1216083,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-7",2016-12-30,2023-12-26,2552,1821,3000000000,0,500000000,214275833.3,714275833.4,2500000000,-500000000,7.63,NA,7.63
2018,Cuarto Trimestre,Diciembre,P09-1217134,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,378",2017-12-29,1932-12-27,5477,5110,1378859929,0,91923995.28,111279161.8,203203157.1,1286935934,-91923995.28,TIIE,0.34,TIIE+0.34
2018,Cuarto Trimestre,Diciembre,P09-1218140,Largo Plazo,Banca Comercial,BANCOMER,"BANCOMER 3,000-18",2018-12-31,2028-12-26,3648,3648,3000000000,3000000000,0,0,0,3000000000,3000000000,9.12,NA,9.12
2018,Cuarto Trimestre,Diciembre,233/2007,Largo Plazo,Banca Comercial,HSBC,"HSBC 7,000",2007-09-07,1947-09-25,14628,10495,7000000000,0,0,602267886.1,602267886.1,7000000000,0,TIIE,0.53,TIIE+0.53
2018,Cuarto Trimestre,Diciembre,261/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,459",2007-10-17,1940-10-25,12062,7969,4459000000,0,31070327.46,359859863,390930190.5,4265863281,-31070327.46,TIIE,0.35,TIIE+0.35
2018,Cuarto Trimestre,Diciembre,329/2007,Largo Plazo,Mercado de Capitales,CI BANCO,BONO GDFCB 07,2007-12-17,2027-11-22,7280,3248,575000000,0,0,50290138.88,50290138.88,575000000,0,8.65,NA,8.65
2018,Cuarto Trimestre,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15,2015-09-25,2020-09-18,1820,627,1382000000,0,0,112239897.8,114916371.1,1382000000,0,TIIE,0.12,TIIE+0.12
2018,Cuarto Trimestre,Diciembre,P09-1012161,Largo Plazo,Bonos Cupón Cero,BANOBRAS,BANOBRAS 294,2012-11-30,1932-11-25,7300,5078,294874160,0,0,23618601.14,23618601.14,294874160,0,7.02,0.88,7.9
2018,Cuarto Trimestre,Diciembre,P09-1014157,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 14,2014-11-03,2024-10-21,3640,2121,2500000000,0,0,162283333.3,162729166.7,2500000000,0,6.42,NA,6.42
2018,Cuarto Trimestre,Diciembre,P09-1213189,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,024",2013-12-31,2023-10-25,3585,1759,1024317877,0,123317629.2,68849419.7,192167048.9,753461598.2,-123317629.2,TIIE,0.32,TIIE+0.32
2018,Cuarto Trimestre,Diciembre,P09-1216054,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 16V,2016-12-09,2021-12-03,1820,1068,1000000000,0,0,84037222.2,87528055.51,1000000000,0,TIIE,0.42,TIIE+0.42
